campaign_key,campaign_name,objective
1,ExtraCash Launch Q1 2024,Product Launch
2,Back to School ExtraCash,Acquisition
3,Holiday Cash Boost Campaign,Acquisition
4,New User Onboarding Incentive,Conversion
5,Banking Product Launch,Product Launch
6,Credit Builder Awareness Drive,Awareness
7,Referral Program Expansion,Acquisition
8,Instagram Stories Campaign,Awareness
9,TikTok Viral Challenge,Engagement
10,Summer Cash Advance Promo,Acquisition
11,Gig Worker Targeting,Acquisition
12,Healthcare Worker Support,Acquisition
13,Student Financial Aid Campaign,Acquisition
14,Tax Season Cash Support,Acquisition
15,Subscription Retention Drive,Retention
16,Reactivation Win-Back,Retention
17,Premium Member Upgrade,Upsell
18,Direct Deposit Incentive,Conversion
19,First-Time User Welcome,Acquisition
20,App Store Optimization Push,Acquisition
21,YouTube Pre-Roll Ads,Awareness
22,Podcast Sponsorship Q2,Awareness
23,Social Media Influencer Collab,Acquisition
24,Google Search Brand Campaign,Awareness
25,Facebook Lookalike Audience,Acquisition
26,Retargeting - Cart Abandoners,Conversion
27,Email Nurture Sequence,Engagement
28,Credit Score Improvement Campaign,Engagement
29,Financial Literacy Series,Engagement
30,Side Hustle Support Initiative,Acquisition
31,Payday Alternative Campaign,Acquisition
32,Banking Account Acquisition,Acquisition
33,Budgeting Tools Promotion,Product Launch
34,Instant Transfer Feature Launch,Product Launch
35,Express Fee Reduction Promo,Retention
36,Tip Appreciation Campaign,Engagement
37,App Rating & Review Drive,Engagement
38,Community Building Initiative,Engagement
39,Partnership Integration Launch,Acquisition
40,Affiliate Marketing Program,Acquisition
41,Content Marketing - Blog Series,Awareness
42,Financial Wellness Webinar,Engagement
43,New Market Expansion - Texas,Acquisition
44,New Market Expansion - Florida,Acquisition
45,Mobile App Update Announcement,Engagement
46,Security Feature Highlight,Awareness
47,Customer Success Story Campaign,Awareness
48,Limited Time Offer - Zero Fees,Acquisition
49,Seasonal Promotion - Spring,Acquisition
50,Black Friday ExtraCash Boost,Acquisition
51,New Year Financial Goals,Engagement
52,Valentine's Day Cash Treat,Acquisition
53,Fourth of July Savings,Acquisition
54,Labor Day Gig Worker Special,Acquisition
55,End of Year Tax Planning,Engagement
56,Q1 User Growth Sprint,Acquisition
57,Q2 Retention Focus,Retention
58,Q3 Product Adoption,Conversion
59,Q4 Revenue Maximization,Upsell
60,Banking Migration Incentive,Conversion
61,Credit Builder Auto-Pay Push,Conversion
62,Emergency Fund Campaign,Engagement
63,Bill Protection Awareness,Awareness
64,Overdraft Protection Launch,Product Launch
65,Same-Day Delivery Promo,Conversion
66,Weekend Cash Access Campaign,Acquisition
67,Night Shift Worker Support,Acquisition
68,Small Business Owner Outreach,Acquisition
69,Freelancer Financial Tools,Acquisition
70,College Student Starter Pack,Acquisition
71,Graduate Financial Freedom,Acquisition
72,First Job Finance Guide,Engagement
73,Career Change Support,Engagement
74,Moving Cities Financial Aid,Engagement
75,Wedding Season Cash Support,Acquisition
76,Baby Budget Campaign,Engagement
77,Pet Emergency Fund,Engagement
78,Home Improvement Financing,Acquisition
79,Vehicle Repair Support,Acquisition
80,Medical Expense Assistance,Acquisition
81,Sports Betting Alternative,Acquisition
82,Entertainment Budgeting,Engagement
83,Subscription Management Tool,Product Launch
84,Cashback Rewards Launch,Product Launch
85,Loyalty Program Introduction,Retention
86,Birthday Month Special Offer,Retention
87,Anniversary Celebration Promo,Retention
88,Milestone Achievement Rewards,Engagement
89,Community Challenge Event,Engagement
90,Social Good Partnership,Awareness
91,Financial Education Month,Engagement
92,Money Management Workshop,Engagement
93,Debt Payoff Planner Launch,Product Launch
94,Savings Goal Tracker Promo,Engagement
95,Income Tracker Feature,Product Launch
96,Spending Insights Launch,Product Launch
97,Bill Forecast Tool Promo,Product Launch
98,Account Security Upgrade,Engagement
99,Privacy Protection Campaign,Awareness
100,Trust & Safety Initiative,Awareness
